Address,Name,Status,Category,Source File
0x80095960,func_80095960,Not Started,game_code,
0x800959DC,func_800959DC,Not Started,game_code,
0x80095A24,func_80095A24,Not Started,game_code,
0x80095B10,func_80095B10,Not Started,game_code,
0x80095BFC,func_80095BFC,Not Started,game_code,
0x80095D04,func_80095D04,Not Started,game_code,
0x80095FD8,func_80095FD8,Not Started,game_code,
0x800960D4,func_800960D4,Not Started,game_code,
0x8009614C,func_8009614C,Not Started,game_code,
0x80096240,func_80096240,Not Started,game_code,
0x80096298,func_80096298,Not Started,game_code,
0x800962D4,func_800962D4,Not Started,game_code,
0x8009638C,func_8009638C,Not Started,game_code,
0x800963E8,func_800963E8,Not Started,game_code,
0x800965BC,func_800965BC,Not Started,game_code,
0x80096734,func_80096734,Not Started,game_code,
0x80096A00,func_80096A00,Not Started,game_code,
0x80096B5C,func_80096B5C,Not Started,game_code,
0x80096CC4,func_80096CC4,Not Started,game_code,
0x80097184,func_80097184,Not Started,game_code,
0x8009731C,func_8009731C,Not Started,game_code,
0x80097384,func_80097384,Not Started,game_code,
0x80097470,func_80097470,Not Started,game_code,
0x800974EC,func_800974EC,Not Started,game_code,
0x80097798,func_80097798,Not Started,game_code,
0x800979A8,func_800979A8,Not Started,game_code,
0x80097AFC,func_80097AFC,Not Started,game_code,
0x80097CA0,camera_transform,Not Started,game_code,
0x80098554,func_80098554,Not Started,game_code,
0x80098574,func_80098574,Not Started,game_code,
0x800985F4,func_800985F4,Not Started,game_code,
0x80098620,func_80098620,Not Started,game_code,
0x800986B0,func_800986B0,Not Started,game_code,
0x800987E8,func_800987E8,Not Started,game_code,
0x80098874,func_80098874,Not Started,game_code,
0x800988E0,func_800988E0,Not Started,game_code,
0x80098AE4,func_80098AE4,Not Started,game_code,
0x80098FC0,func_80098FC0,Not Started,game_code,
0x800992AC,func_800992AC,Not Started,game_code,
0x80099BFC,func_80099BFC,Not Started,game_code,
0x8009C5BC,func_8009C5BC,Not Started,game_code,
0x8009C5E0,func_8009C5E0,Not Started,game_code,
0x8009C8F0,func_8009C8F0,Not Started,game_code,
0x8009DC50,func_8009DC50,Not Started,game_code,
0x8009DD18,func_8009DD18,Not Started,game_code,
0x8009DD88,func_8009DD88,Not Started,game_code,
0x8009EA70,func_8009EA70,Not Started,game_code,
0x8009EB18,func_8009EB18,Not Started,game_code,
0x8009EBC0,func_8009EBC0,Not Started,game_code,
0x8009F064,func_8009F064,Not Started,game_code,
0x800A0000,func_800A0000,Not Started,game_code,
0x800A04C4,func_800A04C4,Not Started,game_code,
0x800A0800,func_800A0800,Not Started,game_code,
0x800A0F74,func_800A0F74,Not Started,game_code,
0x800A0FDC,func_800A0FDC,Not Started,game_code,
0x800A1000,func_800A1000,Not Started,game_code,
0x800A11E4,func_800A11E4,Not Started,game_code,
0x800A1244,func_800A1244,Not Started,game_code,
0x800A12D4,func_800A12D4,Not Started,game_code,
0x800A133C,func_800A133C,Not Started,game_code,
0x800A13E8,func_800A13E8,Not Started,game_code,
0x800A1648,func_800A1648,Not Started,game_code,
0x800A1800,func_800A1800,Not Started,game_code,
0x800A1A60,func_800A1A60,Not Started,game_code,
0x800A1F18,func_800A1F18,Not Started,game_code,
0x800A21A4,func_800A21A4,Not Started,game_code,
0x800A2378,func_800A2378,Not Started,game_code,
0x800A2504,func_800A2504,Not Started,game_code,
0x800A25C0,func_800A25C0,Not Started,game_code,
0x800A2680,Car_UpdatePosVel_P,Not Started,game_code,
0x800A2990,func_800A2990,Not Started,game_code,
0x800A2CE4,func_800A2CE4,Not Started,game_code,
0x800A2D0C,func_800A2D0C,Not Started,game_code,
0x800A2D4C,func_800A2D4C,Not Started,game_code,
0x800A3654,func_800A3654,Not Started,game_code,
0x800A373C,func_800A373C,Not Started,game_code,
0x800A377C,func_800A377C,Not Started,game_code,
0x800A4508,func_800A4508,Not Started,game_code,
0x800A4940,func_800A4940,Not Started,game_code,
0x800A4AC4,func_800A4AC4,Not Started,game_code,
0x800A4B48,func_800A4B48,Not Started,game_code,
0x800A4B6C,func_800A4B6C,Not Started,game_code,
0x800A4C54,func_800A4C54,Not Started,game_code,
0x800A4CC0,func_800A4CC0,Not Started,game_code,
0x800A4E60,func_800A4E60,Not Started,game_code,
0x800A501C,func_800A501C,Not Started,game_code,
0x800A511C,func_800A511C,Not Started,game_code,
0x800A5160,func_800A5160,Not Started,game_code,
0x800A51E0,func_800A51E0,Not Started,game_code,
0x800A5588,func_800A5588,Not Started,game_code,
0x800A5744,func_800A5744,Not Started,game_code,
0x800A5908,func_800A5908,Not Started,game_code,
0x800A5A74,func_800A5A74,Not Started,game_code,
0x800A5B60,func_800A5B60,Not Started,game_code,
0x800A5BB8,func_800A5BB8,Not Started,game_code,
0x800A5D34,func_800A5D34,Not Started,game_code,
0x800A6094,func_800A6094,Not Started,game_code,
0x800A6244,func_800A6244,Not Started,game_code,
0x800A6404,func_800A6404,Not Started,game_code,
0x800A6BE4,func_800A6BE4,Not Started,game_code,
0x800A78C8,func_800A78C8,Not Started,game_code,
0x800A7A10,Input_AllocPadSlot,Not Started,game_code,
0x800A7AE4,func_800A7AE4,Not Started,game_code,
0x800A7C9C,func_800A7C9C,Not Started,game_code,
0x800A7D88,func_800A7D88,Not Started,game_code,
0x800A7DF0,func_800A7DF0,Not Started,game_code,
0x800A80D0,func_800A80D0,Not Started,game_code,
0x800A8D9C,func_800A8D9C,Not Started,game_code,
0x800A8F64,func_800A8F64,Not Started,game_code,
0x800A9390,func_800A9390,Not Started,game_code,
0x800A99C8,func_800A99C8,Not Started,game_code,
0x800AA454,func_800AA454,Not Started,game_code,
0x800AA708,func_800AA708,Not Started,game_code,
0x800AAB44,func_800AAB44,Not Started,game_code,
0x800AAE68,func_800AAE68,Not Started,game_code,
0x800AB544,func_800AB544,Not Started,game_code,
0x800AB70C,func_800AB70C,Not Started,game_code,
0x800AB758,func_800AB758,Not Started,game_code,
0x800AB7D8,func_800AB7D8,Not Started,game_code,
0x800ABBD0,func_800ABBD0,Not Started,game_code,
0x800ABCC8,func_800ABCC8,Not Started,game_code,
0x800AC3D8,func_800AC3D8,Not Started,game_code,
0x800AC668,func_800AC668,Not Started,game_code,
0x800AC6F4,func_800AC6F4,Not Started,game_code,
0x800AC75C,func_800AC75C,Not Started,game_code,
0x800AC820,func_800AC820,Not Started,game_code,
0x800AC840,func_800AC840,Not Started,game_code,
0x800AC898,func_800AC898,Not Started,game_code,
0x800ACA9C,func_800ACA9C,Not Started,game_code,
0x800ACB74,func_800ACB74,Not Started,game_code,
0x800ACC18,func_800ACC18,Not Started,game_code,
0x800AD008,func_800AD008,Not Started,game_code,
0x800AD0A0,func_800AD0A0,Not Started,game_code,
0x800AD128,func_800AD128,Not Started,game_code,
0x800AD734,func_800AD734,Not Started,game_code,
0x800ADD58,func_800ADD58,Not Started,game_code,
0x800AEB54,func_800AEB54,Not Started,game_code,
0x800AED2C,func_800AED2C,Not Started,game_code,
0x800AED64,func_800AED64,Not Started,game_code,
0x800AEFE8,func_800AEFE8,Not Started,game_code,
0x800AF06C,func_800AF06C,Not Started,game_code,
0x800AF51C,func_800AF51C,Not Started,game_code,
0x800AF5E0,func_800AF5E0,Not Started,game_code,
0x800AF690,func_800AF690,Not Started,game_code,
0x800AF8CC,func_800AF8CC,Not Started,game_code,
0x800AFB38,func_800AFB38,Not Started,game_code,
0x800AFD5C,func_800AFD5C,Not Started,game_code,
0x800B0180,func_800B0180,Not Started,game_code,
0x800B0550,func_800B0550,Not Started,game_code,
0x800B0580,func_800B0580,Not Started,game_code,
0x800B0618,func_800B0618,Not Started,game_code,
0x800B066C,func_800B066C,Not Started,game_code,
0x800B0868,PhysicsObjectList_Update,Not Started,game_code,
0x800B0870,func_800B0870,Not Started,game_code,
0x800B0904,func_800B0904,Not Started,game_code,
0x800B0A90,func_800B0A90,Not Started,game_code,
0x800B0C48,func_800B0C48,Not Started,game_code,
0x800B0F68,func_800B0F68,Not Started,game_code,
0x800B10D4,func_800B10D4,Not Started,game_code,
0x800B15B4,func_800B15B4,Not Started,game_code,
